room code,
unspecified room
KG-10,
KG-11,
KG-13,
KG-14,
KG-15,
KG-4,
KG-5,
KG-6,
KG-7,
KG-9,
MKN-14,
MKN-15,
MKN-16,
MKN-17,
MKN-18,
MKN-19,
LLB1,
LLB-1,
LLB2,
LLB-2,
LLB3,
LLB4,
LLM,
Mootcourt,
SI-011,
SI-012,
SI-102,
SI-105,
SI-112,
SI-202,
SI-205,
SI-212,
SI-214,
SI-B01,
SI-B12,
SI-202,
